You are in an environment right now.,You;are in;environment	You;are in;environment right now	You;are in;environment now	

It is anywhere you are.,you;is;anywhere are	you;is;are	It;is;are	It;is;anywhere are	

Your home, place of work, and classroom where you study are all environments.,work;place of are;environments	Your home;are;environments	place;are;environments	

Is your environment healthy?,your environment;Is;healthy	

Pollution can be found anywhere.,Pollution;can;can found anywhere	Pollution;can;can found	

Pollution is bad for your health.,Pollution;is;bad	Pollution;is bad for;your health	

Garbage, dust, dirt and mold are bad for your health.,dirt;are;bad for your health	Garbage;are bad for;your health	mold;are;bad	dust;are bad for;your health	dust;are;bad	Garbage;are;bad for your health	Garbage;are;bad	mold;are bad for;your health	dirt;are;bad	dust;are;bad for your health	dirt;are bad for;your health	

They can all cause sickness and allergies.,They;can cause;allergies	They;can cause;sickness	They;can all cause;allergies	They;can all cause;sickness	

They can also attract pests.,They;can also attract;pests	They;can attract;pests	

There are two good ways to keep your environment healthy.,

First, keep it clean.,

Second, don’t pollute.,

Clean your home every week.,

Get the whole family involved.,

Assign each person a task.,

Keep your kitchen and bathrooms clean.,

Mold and germs can form very easily in those two rooms.,Mold;can form easily in;two rooms	Mold;can form in;two rooms	Mold;can form very easily in;two rooms	germs;can form easily in;two rooms	germs;can form in;two rooms	germs;can form very easily in;two rooms	

Keep food off the floor and sweep often.,

Wash dirty dishes daily.,

Wear rubber gloves when using cleaning products.,

Some products contain chemicals.,products;contain;chemicals	

Keep cleaning products away from children.,

Many products are poisonous.,Many products;are;poisonous	products;are;poisonous	

Find a high, safe place to store cleaning products.,

Help keep your children’s school or a nearby park clean.,children;has;school	

Recycle cans, bottles and paper.,

Pick up trash and ask others to do the same.,trash;ask;others	others;do;same	

Don’t litter.,

Make sure to throw your own trash in garbage cans.,

Children are always watching and learning from their parents and other adults.,Children;learning from;their parents	

We need to model good environmental health.,We;model;good health	We;model;health	We;model;good environmental health	We;model;environmental health	

